Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,AUT,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,4.741179948,5.219715703,5.05060138,5.288633688,4.419528492,4.342510588,4.315310418,3.776409417,3.361769988,3.01040745,3.155917217,3.132145504,2.3015374,2.623920703,2.850505011,3.37137643,3.604421462,3.585971879,3.416953318,3.263866727,3.71727228,3.84920801,3.613948635,3.344085408,3.561152591,3.679604383,3.637952959,3.21864014,3.00742237,2.833391292,2.663191132,2.834308388,3.314895047,3.204177212,2.630555691,2.517964576,2.225522832,2.534276169,2.415014245,2.241387778,2.51799343,2.603215835,2.703966847,3.274755445,3.358473644,3.376594698,3.075434812,3.838632032,3.822122969,3.725231378,3.239484803,3.079659157,3.270159725,3.142657964,3.395432547,3.131590376,2.907418388,
Azerbaijan,AZE,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.184050505,1.662797963,1.465708687,3.669139907,2.92723669,0.99866583,0.832718306,2.310545781,2.802456066,3.668151564,3.772777185,2.81091851,0.403601397,0.273775066,0.118246247,0.194087434,0.704493441,0.487873494,0.512269035,0.8639085,1.095991918,1.214245732,0.918083805,0.999194867,
Burundi,BDI,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,0.418374716,,,,,,,,,1.585274242,0.849992729,0.430789913,,,,,,,,,,,,,,,,,0.573797158,0.380369194,0.729505171,0.87326105,1.072521307,0.503906781,0.988146745,0.73786918,8.750861091,2.976467209,0.631444166,0.731753556,1.340429964,2.128388538,2.062941166,5.270970312,3.592469321,4.645470004,5.713704309,7.479970462,5.345486003,2.698964647,2.140530544,3.868789723,5.673859952,9.187953877,7.380223314,
Belgium,BEL,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,9.733424366,9.838071608,9.826782918,10.11964251,11.76006694,10.88232577,11.18461541,10.60963077,10.33008179,7.416841944,6.362461763,7.562485793,7.967192723,5.114526424,5.552690608,5.495519213,4.928578079,5.379963316,6.531756656,5.157484709,4.695959335,4.963477472,4.886285486,4.709589252,4.055498378,3.816415005,,,,,,,,,,,,2.704931173,2.790252095,2.590952003,2.251010824,2.119906494,2.523770036,2.598573114,3.504689184,3.653724534,3.309043873,2.714867192,3.636177925,3.753811011,3.628627118,2.99193583,2.679046185,2.688169595,2.44379688,2.690187361,3.314057204,3.414574774,
Benin,BEN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,0.188999196,0.228890809,0.007894553,0.609783723,0.383987073,13.75576023,2.957475243,0.670467317,0.120669906,0.126441549,0.310373605,0.35557834,0.407421058,,,,,0.227492875,1.146296375,,0.074491907,,,,,,,,,,,,,,,,0.077624069,0.386105017,0.065885246,0.096013838,0.113155802,0.168931912,0.374631627,0.549277175,0.64210971,1.16023297,1.780642722,0.717989245,0.998345626,3.57189559,2.233926833,2.874459185,4.379039607,1.479338361,2.33562508,0.58316018,0.219331905,0.210015767,
Burkina Faso,BFA,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.872190178,3.467596899,1.955266568,1.348950126,1.457816613,0.196106684,0.13267728,0.067747642,0.13378294,0.111221898,0.174483981,0.121379058,0.13869225,0.056734855,0.303907014,0.041583526,0.044654769,0.039458944,0.106403579,0.119324769,0.032067157,0.061346062,,,,,,,,,,,,0.33954586,0.432632275,0.369624297,0.222624967,0.083941361,0.031819956,0.043581381,0.050593176,0.021316313,0.151539848,0.326762715,,0.211224922,0.260866567,0.335528584,0.516623421,0.336073933,0.105509325,1.077137036,3.868268918,2.69977632,3.700524541,6.056582578,5.857988869,4.916802298,
Bangladesh,BGD,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,0.001803059,0.014921552,0.094757138,0.001772363,,0.048341655,0.073645784,0.029462704,,2.77E-05,,,,,,,0.061663616,0.016268015,,0.000854258,0.030506697,0.002122737,,0.014137138,0.008757249,0.041022895,0.023451666,0.159890242,0.197936066,0.334982177,0.425047395,0.32672536,0.331266402,0.461533272,0.448393266,0.417876034,0.31419402,,0.171611764,,,,,
Bulgaria,BGR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.652075986,10.99826919,9.00882473,9.387160821,12.66978325,10.58494297,9.779077297,10.27736924,12.40852734,14.22740018,20.150934,17.77068028,16.69803669,14.99502102,16.86584317,18.76369398,17.15319755,15.95663169,14.66353025,14.01309702,11.48883038,14.17614837,14.05610434,12.77942807,
Bahrain,BHR,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,0.073784419,0.058709323,0.86290088,1.210789767,6.901157229,7.217930411,6.847786673,5.876574085,9.358279375,44.5872038,45.80448879,36.63454638,60.34375845,75.12814161,71.81528372,57.35759171,84.18806206,70.14239058,,,,,,,25.06512479,26.30517424,57.04112635,,,,16.17177467,19.62532017,17.46080997,17.27302863,15.321236,15.22794719,13.82938186,10.81429867,17.08441593,15.36441499,18.09931027,21.44507627,21.09294411,18.34034553,15.0914863,22.8877062,28.01394659,24.86759193,22.77639455,,
"Bahamas, The",BHS,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,0.746744103,0.663245465,1.403926236,,,,0.322305191,0.763283122,0.942284342,0.604811815,0.867896621,1.65033354,2.001094085,2.755712898,,,,,,,,,,27.15886875,16.13845748,8.986048485,5.748386882,8.614118561,8.74815548,11.28661197,9.053977827,5.486146618,3.9815169,11.2620271,10.91314414,9.605525284,11.03642017,8.999023607,6.712301808,6.255302925,9.525414918,10.21979284,2.040094259,2.45879849,3.555574144,,
